Diamond Shape,Metal Color,Total Carat Weight,Result,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4
Oval,Rose Gold,2ct,Matilda | Rose Gold | 2ct,Grazi | Rose Gold | 3ct,Matilda | Rose Gold | 4ct,Luisa | Rose Gold | 5ct,Grace | Rose Gold | 6ct
Oval,Rose Gold,3ct,Luisa | Rose Gold | 3ct,Grace | Rose Gold | 4ct,Luisa | Rose Gold | 5ct,Grace | Rose Gold | 6ct,Luisa | Rose Gold | 7ct
Oval,Rose Gold,4ct,Matilda | Rose Gold | 4ct,Grace | Rose Gold | 5ct,Luisa | Rose Gold | 6ct,Luisa | Rose Gold | 7ct,N/A
Oval,Rose Gold,5ct,Grace | Rose Gold | 5ct,Luisa | Rose Gold | 6ct,Luisa | Rose Gold | 7ct,N/A,N/A
Oval,Rose Gold,6ct,Matilda | Rose Gold | 6ct,Matilda | Rose Gold | 7ct,N/A,N/A,N/A
Oval,Rose Gold,7ct,Matilda | Rose Gold | 7ct,N/A,N/A,N/A,N/A
Radiant,Yellow Gold,1ct,Luisa | Yellow Gold | 1ct,Grazi | Yellow Gold | 2ct,Luisa | Yellow Gold | 3ct,Luisa | Yellow Gold | 4ct,Matilda | Yellow Gold | 5ct
Radiant,Yellow Gold,2ct,Grace | Yellow Gold | 2ct,Grazi | Yellow Gold | 3ct,Grazi | Yellow Gold | 4ct,Matilda | Yellow Gold | 5ct,Grace | Yellow Gold | 6ct
Radiant,Yellow Gold,3ct,Luisa | Yellow Gold | 3ct,Matilda | Yellow Gold | 4ct,Grace | Yellow Gold | 5ct,Grace | Yellow Gold | 6ct,Grazi | Yellow Gold | 7ct
Radiant,Yellow Gold,4ct,Grace | Yellow Gold | 4ct,Grace | Yellow Gold | 5ct,Grazi | Yellow Gold | 6ct,Grace | Yellow Gold | 7ct,N/A
Radiant,Yellow Gold,5ct,Luisa | Yellow Gold | 5ct,Matilda | Yellow Gold | 6ct,Luisa | Yellow Gold | 7ct,N/A,N/A
Radiant,Yellow Gold,6ct,Grazi | Yellow Gold | 6ct,Luisa | Yellow Gold | 7ct,N/A,N/A,N/A
Radiant,Yellow Gold,7ct,Matilda | Yellow Gold | 7ct,N/A,N/A,N/A,N/A
Radiant,White Gold,1ct,Grazi | White Gold | 1ct,Luisa | White Gold | 2ct,Luisa | White Gold | 3ct,Matilda | White Gold | 4ct,Luisa | White Gold | 5ct
Radiant,White Gold,2ct,Grazi | White Gold | 2ct,Matilda | White Gold | 3ct,Grazi | White Gold | 4ct,Luisa | White Gold | 5ct,Grace | White Gold | 6ct
Radiant,White Gold,3ct,Grace | White Gold | 3ct,Matilda | White Gold | 4ct,Grace | White Gold | 5ct,Luisa | White Gold | 6ct,Grace | White Gold | 7ct
Radiant,White Gold,4ct,Grazi | White Gold | 4ct,Grazi | White Gold | 5ct,Grazi | White Gold | 6ct,Matilda | White Gold | 7ct,N/A
Radiant,White Gold,5ct,Matilda | White Gold | 5ct,Grace | White Gold | 6ct,Grazi | White Gold | 7ct,N/A,N/A
Radiant,White Gold,6ct,Matilda | White Gold | 6ct,Grazi | White Gold | 7ct,N/A,N/A,N/A
Radiant,White Gold,7ct,Grace | White Gold | 7ct,N/A,N/A,N/A,N/A
Radiant,Rose Gold,1ct,Grazi | Rose Gold | 1ct,Matilda | Rose Gold | 2ct,Luisa | Rose Gold | 3ct,Luisa | Rose Gold | 4ct,Grazi | Rose Gold | 5ct
Radiant,Rose Gold,2ct,Luisa | Rose Gold | 2ct,Grazi | Rose Gold | 3ct,Grace | Rose Gold | 4ct,Grace | Rose Gold | 5ct,Grazi | Rose Gold | 6ct
Radiant,Rose Gold,3ct,Grace | Rose Gold | 3ct,Matilda | Rose Gold | 4ct,Grazi | Rose Gold | 5ct,Grazi | Rose Gold | 6ct,Grazi | Rose Gold | 7ct
Radiant,Rose Gold,4ct,Matilda | Rose Gold | 4ct,Matilda | Rose Gold | 5ct,Grace | Rose Gold | 6ct,Luisa | Rose Gold | 7ct,N/A
Radiant,Rose Gold,5ct,Matilda | Rose Gold | 5ct,Grace | Rose Gold | 6ct,Grace | Rose Gold | 7ct,N/A,N/A
Radiant,Rose Gold,6ct,Grace | Rose Gold | 6ct,Grazi | Rose Gold | 7ct,N/A,N/A,N/A
Radiant,Rose Gold,7ct,Luisa | Rose Gold | 7ct,N/A,N/A,N/A,N/A
Emerald,Yellow Gold,1ct,Grazi | Yellow Gold | 1ct,Grazi | Yellow Gold | 2ct,Luisa | Yellow Gold | 3ct,Matilda | Yellow Gold | 4ct,Luisa | Yellow Gold | 5ct
Emerald,Yellow Gold,2ct,Grace | Yellow Gold | 2ct,Grace | Yellow Gold | 3ct,Matilda | Yellow Gold | 4ct,Grazi | Yellow Gold | 5ct,Luisa | Yellow Gold | 6ct
Emerald,Yellow Gold,3ct,Grace | Yellow Gold | 3ct,Luisa | Yellow Gold | 4ct,Luisa | Yellow Gold | 5ct,Luisa | Yellow Gold | 6ct,Grace | Yellow Gold | 7ct
Emerald,Yellow Gold,4ct,Grace | Yellow Gold | 4ct,Luisa | Yellow Gold | 5ct,Grazi | Yellow Gold | 6ct,Luisa | Yellow Gold | 7ct,N/A
Emerald,Yellow Gold,5ct,Matilda | Yellow Gold | 5ct,Matilda | Yellow Gold | 6ct,Luisa | Yellow Gold | 7ct,N/A,N/A
Emerald,Yellow Gold,6ct,Matilda | Yellow Gold | 6ct,Matilda | Yellow Gold | 7ct,N/A,N/A,N/A
Emerald,Yellow Gold,7ct,Matilda | Yellow Gold | 7ct,N/A,N/A,N/A,N/A
Emerald,White Gold,1ct,Matilda | White Gold | 1ct,Matilda | White Gold | 2ct,Matilda | White Gold | 3ct,Grazi | White Gold | 4ct,Luisa | White Gold | 5ct
Emerald,White Gold,2ct,Grazi | White Gold | 2ct,Grace | White Gold | 3ct,Grazi | White Gold | 4ct,Matilda | White Gold | 5ct,Matilda | White Gold | 6ct
Emerald,White Gold,3ct,Grazi | White Gold | 3ct,Grazi | White Gold | 4ct,Luisa | White Gold | 5ct,Luisa | White Gold | 6ct,Grazi | White Gold | 7ct
Emerald,White Gold,4ct,Luisa | White Gold | 4ct,Luisa | White Gold | 5ct,Grazi | White Gold | 6ct,Grace | White Gold | 7ct,N/A
Emerald,White Gold,5ct,Matilda | White Gold | 5ct,Grazi | White Gold | 6ct,Luisa | White Gold | 7ct,N/A,N/A
Emerald,White Gold,6ct,Grazi | White Gold | 6ct,Luisa | White Gold | 7ct,N/A,N/A,N/A
Emerald,White Gold,7ct,Grace | White Gold | 7ct,N/A,N/A,N/A,N/A
Emerald,Rose Gold,1ct,Grace | Rose Gold | 1ct,Grazi | Rose Gold | 2ct,Luisa | Rose Gold | 3ct,Grazi | Rose Gold | 4ct,Grace | Rose Gold | 5ct
Emerald,Rose Gold,2ct,Luisa | Rose Gold | 2ct,Grace | Rose Gold | 3ct,Matilda | Rose Gold | 4ct,Luisa | Rose Gold | 5ct,Matilda | Rose Gold | 6ct
Emerald,Rose Gold,3ct,Luisa | Rose Gold | 3ct,Luisa | Rose Gold | 4ct,Luisa | Rose Gold | 5ct,Grazi | Rose Gold | 6ct,Luisa | Rose Gold | 7ct
Emerald,Rose Gold,4ct,Grazi | Rose Gold | 4ct,Grazi | Rose Gold | 5ct,Matilda | Rose Gold | 6ct,Grazi | Rose Gold | 7ct,N/A
Emerald,Rose Gold,5ct,Grazi | Rose Gold | 5ct,Matilda | Rose Gold | 6ct,Luisa | Rose Gold | 7ct,N/A,N/A
Emerald,Rose Gold,6ct,Grace | Rose Gold | 6ct,Grace | Rose Gold | 7ct,N/A,N/A,N/A
Emerald,Rose Gold,7ct,Luisa | Rose Gold | 7ct,N/A,N/A,N/A,N/A
Asscher,Yellow Gold,1ct,Grace | Yellow Gold | 1ct,Matilda | Yellow Gold | 2ct,Grazi | Yellow Gold | 3ct,Grace | Yellow Gold | 4ct,Luisa | Yellow Gold | 5ct
Asscher,Yellow Gold,2ct,Matilda | Yellow Gold | 2ct,Grace | Yellow Gold | 3ct,Luisa | Yellow Gold | 4ct,Matilda | Yellow Gold | 5ct,Luisa | Yellow Gold | 6ct
Asscher,Yellow Gold,3ct,Matilda | Yellow Gold | 3ct,Grace | Yellow Gold | 4ct,Grazi | Yellow Gold | 5ct,Matilda | Yellow Gold | 6ct,Grace | Yellow Gold | 7ct
Asscher,Yellow Gold,4ct,Luisa | Yellow Gold | 4ct,Grazi | Yellow Gold | 5ct,Grazi | Yellow Gold | 6ct,Grazi | Yellow Gold | 7ct,N/A
Asscher,Yellow Gold,5ct,Grace | Yellow Gold | 5ct,Grazi | Yellow Gold | 6ct,Grazi | Yellow Gold | 7ct,N/A,N/A
Asscher,Yellow Gold,6ct,Matilda | Yellow Gold | 6ct,Luisa | Yellow Gold | 7ct,N/A,N/A,N/A
Asscher,Yellow Gold,7ct,Grazi | Yellow Gold | 7ct,N/A,N/A,N/A,N/A
Asscher,White Gold,1ct,Grace | White Gold | 1ct,Luisa | White Gold | 2ct,Luisa | White Gold | 3ct,Grace | White Gold | 4ct,Grazi | White Gold | 5ct
Asscher,White Gold,2ct,Grace | White Gold | 2ct,Grace | White Gold | 3ct,Matilda | White Gold | 4ct,Matilda | White Gold | 5ct,Grace | White Gold | 6ct
Asscher,White Gold,3ct,Grazi | White Gold | 3ct,Grazi | White Gold | 4ct,Grace | White Gold | 5ct,Luisa | White Gold | 6ct,Luisa | White Gold | 7ct
Asscher,White Gold,4ct,Grace | White Gold | 4ct,Grazi | White Gold | 5ct,Matilda | White Gold | 6ct,Grace | White Gold | 7ct,N/A
Asscher,White Gold,5ct,Luisa | White Gold | 5ct,Matilda | White Gold | 6ct,Grace | White Gold | 7ct,N/A,N/A
Asscher,White Gold,6ct,Luisa | White Gold | 6ct,Matilda | White Gold | 7ct,N/A,N/A,N/A
Asscher,White Gold,7ct,Grazi | White Gold | 7ct,N/A,N/A,N/A,N/A
Asscher,Rose Gold,1ct,Grace | Rose Gold | 1ct,Grazi | Rose Gold | 2ct,Grazi | Rose Gold | 3ct,Grazi | Rose Gold | 4ct,Grace | Rose Gold | 5ct
Asscher,Rose Gold,2ct,Grace | Rose Gold | 2ct,Matilda | Rose Gold | 3ct,Grazi | Rose Gold | 4ct,Luisa | Rose Gold | 5ct,Grazi | Rose Gold | 6ct
Asscher,Rose Gold,3ct,Matilda | Rose Gold | 3ct,Matilda | Rose Gold | 4ct,Matilda | Rose Gold | 5ct,Grazi | Rose Gold | 6ct,Matilda | Rose Gold | 7ct
Asscher,Rose Gold,4ct,Matilda | Rose Gold | 4ct,Grazi | Rose Gold | 5ct,Luisa | Rose Gold | 6ct,Luisa | Rose Gold | 7ct,N/A
Asscher,Rose Gold,5ct,Luisa | Rose Gold | 5ct,Grace | Rose Gold | 6ct,Matilda | Rose Gold | 7ct,N/A,N/A
Asscher,Rose Gold,6ct,Grazi | Rose Gold | 6ct,Grazi | Rose Gold | 7ct,N/A,N/A,N/A
Asscher,Rose Gold,7ct,Grazi | Rose Gold | 7ct,N/A,N/A,N/A,N/A
Heart,Yellow Gold,1ct,Luisa | Yellow Gold | 1ct,Grace | Yellow Gold | 2ct,Matilda | Yellow Gold | 3ct,Grace | Yellow Gold | 4ct,Grace | Yellow Gold | 5ct
Heart,Yellow Gold,2ct,Luisa | Yellow Gold | 2ct,Matilda | Yellow Gold | 3ct,Grazi | Yellow Gold | 4ct,Matilda | Yellow Gold | 5ct,Grazi | Yellow Gold | 6ct
Heart,Yellow Gold,3ct,Grace | Yellow Gold | 3ct,Luisa | Yellow Gold | 4ct,Matilda | Yellow Gold | 5ct,Matilda | Yellow Gold | 6ct,Matilda | Yellow Gold | 7ct
Heart,Yellow Gold,4ct,Matilda | Yellow Gold | 4ct,Grazi | Yellow Gold | 5ct,Grazi | Yellow Gold | 6ct,Grazi | Yellow Gold | 7ct,N/A
Heart,Yellow Gold,5ct,Matilda | Yellow Gold | 5ct,Luisa | Yellow Gold | 6ct,Grazi | Yellow Gold | 7ct,N/A,N/A
Heart,Yellow Gold,6ct,Matilda | Yellow Gold | 6ct,Luisa | Yellow Gold | 7ct,N/A,N/A,N/A
Heart,Yellow Gold,7ct,Grace | Yellow Gold | 7ct,N/A,N/A,N/A,N/A
Heart,White Gold,1ct,Matilda | White Gold | 1ct,Luisa | White Gold | 2ct,Grace | White Gold | 3ct,Grazi | White Gold | 4ct,Matilda | White Gold | 5ct
Heart,White Gold,2ct,Matilda | White Gold | 2ct,Matilda | White Gold | 3ct,Luisa | White Gold | 4ct,Grazi | White Gold | 5ct,Luisa | White Gold | 6ct
Heart,White Gold,3ct,Grace | White Gold | 3ct,Grace | White Gold | 4ct,Matilda | White Gold | 5ct,Luisa | White Gold | 6ct,Grazi | White Gold | 7ct
Heart,White Gold,4ct,Matilda | White Gold | 4ct,Matilda | White Gold | 5ct,Grace | White Gold | 6ct,Grace | White Gold | 7ct,N/A
Heart,White Gold,5ct,Grace | White Gold | 5ct,Luisa | White Gold | 6ct,Grace | White Gold | 7ct,N/A,N/A
Heart,White Gold,6ct,Grazi | White Gold | 6ct,Luisa | White Gold | 7ct,N/A,N/A,N/A
Heart,White Gold,7ct,Matilda | White Gold | 7ct,N/A,N/A,N/A,N/A
Heart,Rose Gold,1ct,Matilda | Rose Gold | 1ct,Matilda | Rose Gold | 2ct,Luisa | Rose Gold | 3ct,Grace | Rose Gold | 4ct,Luisa | Rose Gold | 5ct
Heart,Rose Gold,2ct,Luisa | Rose Gold | 2ct,Luisa | Rose Gold | 3ct,Matilda | Rose Gold | 4ct,Matilda | Rose Gold | 5ct,Matilda | Rose Gold | 6ct
Heart,Rose Gold,3ct,Grazi | Rose Gold | 3ct,Matilda | Rose Gold | 4ct,Grace | Rose Gold | 5ct,Grace | Rose Gold | 6ct,Luisa | Rose Gold | 7ct
Heart,Rose Gold,4ct,Luisa | Rose Gold | 4ct,Luisa | Rose Gold | 5ct,Luisa | Rose Gold | 6ct,Luisa | Rose Gold | 7ct,N/A
Heart,Rose Gold,5ct,Grazi | Rose Gold | 5ct,Grace | Rose Gold | 6ct,Luisa | Rose Gold | 7ct,N/A,N/A
Heart,Rose Gold,6ct,Matilda | Rose Gold | 6ct,Grazi | Rose Gold | 7ct,N/A,N/A,N/A
Heart,Rose Gold,7ct,Luisa | Rose Gold | 7ct,N/A,N/A,N/A,N/A
Pear,Yellow Gold,1ct,Grace | Yellow Gold | 1ct,Matilda | Yellow Gold | 2ct,Matilda | Yellow Gold | 3ct,Luisa | Yellow Gold | 4ct,Grazi | Yellow Gold | 5ct
Pear,Yellow Gold,2ct,Grazi | Yellow Gold | 2ct,Matilda | Yellow Gold | 3ct,Matilda | Yellow Gold | 4ct,Matilda | Yellow Gold | 5ct,Luisa | Yellow Gold | 6ct
Pear,Yellow Gold,3ct,Grace | Yellow Gold | 3ct,Grace | Yellow Gold | 4ct,Grace | Yellow Gold | 5ct,Luisa | Yellow Gold | 6ct,Grazi | Yellow Gold | 7ct
Pear,Yellow Gold,4ct,Grazi | Yellow Gold | 4ct,Grace | Yellow Gold | 5ct,Grazi | Yellow Gold | 6ct,Grace | Yellow Gold | 7ct,N/A
Pear,Yellow Gold,5ct,Matilda | Yellow Gold | 5ct,Grace | Yellow Gold | 6ct,Luisa | Yellow Gold | 7ct,N/A,N/A
