Shapes,Talent Show,Prom Jewelry,Glove Size,Style 1,Shape 1,Carat 1,Metal 1,Gold Color 1,Style 2,Shape 2,Carat 2,Metal 2,Gold Color 2,Style 3,Shape 3,Carat 3,Metal 3,Gold Color 3,Style 4,Shape 4,Carat 4,Metal 4,Gold Color 4,Personality
Round,In Crowd,No Jewelry,Medium,Gemma,Round,2ct,14k,Yellow,Gemma,Round,1ct,Platinum,White,Gemma,Round,2ct,Platinum,White,Gemma,Round,1ct,Platinum,White,Minimalistic
Round,In Crowd,No Jewelry,Large,Gemma,Round,2ct,18k,Rose,Gemma,Round,1ct,14k,Rose,Gemma,Round,1ct,Platinum,White,Gemma,Round,1ct,Platinum,White,Minimalistic
Round,Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,Gemma,Round,2ct,18k,Yellow,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,14k,Rose,Gemma,Round,2ct,Platinum,White,Minimalistic
Round,Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Gemma,Round,2ct,18k,Yellow,Gemma,Round,2ct,18k,White,Gemma,Round,2ct,18k,Rose,Gemma,Round,2ct,Platinum,White,Minimalistic
Round,Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Gemma,Round,3ct,Platinum,White,Gemma,Round,5ct,14k,White,Gemma,Round,4ct,Platinum,White,Gemma,Round,5ct,14k,White,Minimalistic
Round,Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Gemma,Round,4ct,18k,Rose,Gemma,Round,3ct,14k,White,Gemma,Round,5ct,Platinum,White,Gemma,Round,4ct,Platinum,White,Minimalistic
Round,Not Attending,Necklace & Earrings,X-Small,Gemma,Round,2ct,18k,White,Gemma,Round,2ct,14k,Yellow,Gemma,Round,2ct,18k,Yellow,Gemma,Round,2ct,14k,Yellow,Minimalistic
Round,Not Attending,Necklace & Earrings,Small,Gemma,Round,2ct,14k,White,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,18k,Yellow,Gemma,Round,2ct,Platinum,White,Minimalistic
Round,Not Attending,Necklace & Earrings,Medium,Gemma,Round,4ct,14k,Rose,Gemma,Round,4ct,Platinum,White,Gemma,Round,2ct,18k,Rose,Gemma,Round,1ct,14k,White,Minimalistic
Round,Not Attending,Necklace & Earrings,Large,Gemma,Round,1ct,Platinum,White,Gemma,Round,4ct,18k,White,Gemma,Round,4ct,14k,White,Gemma,Round,2ct,Platinum,White,Minimalistic
Round,Not Attending,Earrings Only,X-Small,Gemma,Round,2ct,14k,Yellow,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,Platinum,White,Minimalistic
Round,Not Attending,Earrings Only,Small,Gemma,Round,2ct,18k,Yellow,Gemma,Round,1ct,18k,Yellow,Gemma,Round,2ct,18k,Rose,Gemma,Round,2ct,14k,Rose,Minimalistic
Round,Not Attending,Earrings Only,Medium,Gemma,Round,3ct,Platinum,White,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,18k,White,Gemma,Round,2ct,18k,White,Minimalistic
Round,Not Attending,Earrings Only,Large,Gemma,Round,2ct,Platinum,White,Gemma,Round,3ct,18k,Rose,Gemma,Round,2ct,18k,Yellow,Gemma,Round,1ct,14k,Rose,Minimalistic
Round,Not Attending,No Jewelry,X-Small,Gemma,Round,2ct,Platinum,White,Gemma,Round,1ct,14k,Yellow,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,18k,Rose,Minimalistic
Round,Not Attending,No Jewelry,Small,Gemma,Round,1ct,Platinum,White,Gemma,Round,1ct,Platinum,White,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,14k,Yellow,Minimalistic
Round,Not Attending,No Jewelry,Medium,Gemma,Round,1ct,14k,Yellow,Gemma,Round,1ct,14k,White,Gemma,Round,2ct,18k,Rose,Gemma,Round,1ct,18k,Yellow,Minimalistic
Round,Not Attending,No Jewelry,Large,Gemma,Round,2ct,Platinum,White,Gemma,Round,1ct,Platinum,White,Gemma,Round,2ct,Platinum,White,Gemma,Round,1ct,18k,Yellow,Minimalistic
Oval,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,CATERINA,Oval,2ct,14k,Rose,MIA,Oval,2ct,14k,Rose,GABRIELLA,Oval,2ct,Platinum,White,GABRIELLA,Oval,2ct,14k,Yellow,Glamorous
Oval,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,GABRIELLA,Oval,2ct,18k,White,MIA,Oval,2ct,14k,White,GABRIELLA,Oval,2ct,Platinum,White,CATERINA,Oval,2ct,18k,Rose,Glamorous
Oval,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Emma,Oval,5ct,18k,Yellow,GABRIELLA,Oval,5ct,18k,Rose,Emma,Oval,4ct,14k,Rose,CATERINA,Oval,4ct,18k,Yellow,Glamorous
Oval,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,CATERINA,Oval,4ct,Platinum,White,GABRIELLA,Oval,3ct,14k,Yellow,MIA,Oval,4ct,18k,Yellow,Emma,Oval,3ct,Platinum,White,Glamorous
Oval,Center Stage,Necklace & Earrings,X-Small,DANIELLA,Oval,2ct,Platinum,White,ARIA,Oval,2ct,14k,White,GIULIA,Oval,2ct,14k,White,CAMILLA,Oval,2ct,14k,Rose,Classic
Oval,Center Stage,Necklace & Earrings,Small,GIORGINA,Oval,2ct,18k,White,GIORGINA,Oval,2ct,18k,White,ARIA,Oval,2ct,Platinum,White,ARIA,Oval,2ct,Platinum,White,Classic
Oval,Center Stage,Necklace & Earrings,Medium,ANGELINA,Oval,3ct,Platinum,White,GIULIA,Oval,4ct,18k,Rose,GIORGINA,Oval,2ct,14k,Rose,CAMILLA,Oval,1ct,18k,White,Classic
Oval,Center Stage,Necklace & Earrings,Large,CAMILLA,Oval,1ct,18k,Rose,Donatella,Oval,2ct,14k,Rose,Bianca,Oval,2ct,Platinum,White,GIULIA,Oval,2ct,Platinum,White,Classic
Oval,Center Stage,Earrings Only,X-Small,Beatrice,Oval,2ct,Platinum,White,Gianna,Oval,1ct,18k,White,Francesca,Oval,2ct,14k,Rose,Alessia,Oval,2ct,18k,White,Trendy
Oval,Center Stage,Earrings Only,Small,Beatrice,Oval,2ct,14k,White,Beatrice,Oval,2ct,18k,Yellow,Elena,Oval,2ct,18k,Yellow,Gianna,Oval,2ct,14k,Yellow,Trendy
Oval,Center Stage,Earrings Only,Medium,Gianna,Oval,2ct,18k,Yellow,Francesca,Oval,1ct,Platinum,White,Francesca,Oval,2ct,14k,White,Alessia,Oval,2ct,14k,White,Trendy
Oval,Center Stage,Earrings Only,Large,Gianna,Oval,2ct,18k,Rose,Francesca,Oval,2ct,Platinum,White,Gianna,Oval,1ct,18k,White,Elena,Oval,2ct,Platinum,White,Trendy
Oval,Center Stage,No Jewelry,X-Small,Gianna,Oval,2ct,Platinum,White,Alessia,Oval,1ct,Platinum,White,Elena,Oval,2ct,Platinum,White,Gianna,Oval,2ct,14k,Rose,Trendy
Oval,Center Stage,No Jewelry,Small,Francesca,Oval,1ct,18k,White,Elena,Oval,2ct,Platinum,White,Beatrice,Oval,2ct,14k,White,Gianna,Oval,2ct,18k,Rose,Trendy
Oval,Center Stage,No Jewelry,Medium,Elena,Oval,2ct,Platinum,White,Gianna,Oval,2ct,18k,White,Francesca,Oval,2ct,18k,White,Elena,Oval,1ct,18k,Yellow,Trendy
Oval,Center Stage,No Jewelry,Large,Francesca,Oval,2ct,14k,Rose,Alessia,Oval,1ct,14k,White,Francesca,Oval,2ct,14k,Yellow,Elena,Oval,1ct,14k,White,Trendy
Oval,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,Gemma,Oval,2ct,14k,White,Gemma,Oval,2ct,18k,Rose,Gemma,Oval,2ct,Platinum,White,Gemma,Oval,2ct,14k,White,Minimalistic
Oval,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Gemma,Oval,2ct,18k,Rose,Gemma,Oval,2ct,Platinum,White,Gemma,Oval,2ct,18k,Rose,Gemma,Oval,2ct,18k,Rose,Minimalistic
Oval,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Gemma,Oval,4ct,Platinum,White,Gemma,Oval,5ct,Platinum,White,Gemma,Oval,4ct,Platinum,White,Gemma,Oval,4ct,Platinum,White,Minimalistic
Oval,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Gemma,Oval,4ct,14k,Yellow,Gemma,Oval,5ct,18k,Rose,Gemma,Oval,4ct,18k,Yellow,Gemma,Oval,3ct,Platinum,White,Minimalistic
Oval,In Crowd,Necklace & Earrings,X-Small,Arianna,Oval,2ct,18k,Yellow,Donatella,Oval,2ct,18k,Rose,GIULIA,Oval,2ct,14k,Rose,Bianca,Oval,2ct,18k,Yellow,Classic
Oval,In Crowd,Necklace & Earrings,Small,ANGELINA,Oval,2ct,14k,Yellow,DANIELLA,Oval,2ct,18k,Yellow,Donatella,Oval,2ct,18k,White,ARIA,Oval,2ct,14k,White,Classic
Oval,In Crowd,Necklace & Earrings,Medium,GIULIA,Oval,4ct,14k,Yellow,GIULIA,Oval,4ct,Platinum,White,CAMILLA,Oval,2ct,14k,Rose,DANIELLA,Oval,2ct,14k,Yellow,Classic
Oval,In Crowd,Necklace & Earrings,Large,Arianna,Oval,1ct,Platinum,White,GIORGINA,Oval,4ct,Platinum,White,DANIELLA,Oval,2ct,18k,White,Arianna,Oval,2ct,Platinum,White,Classic
Oval,In Crowd,Earrings Only,X-Small,Beatrice,Oval,2ct,14k,Yellow,Alessia,Oval,1ct,18k,Yellow,Alessia,Oval,2ct,Platinum,White,Francesca,Oval,1ct,18k,Yellow,Trendy
Oval,In Crowd,Earrings Only,Small,Elena,Oval,2ct,18k,Rose,Gianna,Oval,1ct,Platinum,White,Gianna,Oval,2ct,Platinum,White,Alessia,Oval,2ct,14k,White,Trendy
Oval,In Crowd,Earrings Only,Medium,Francesca,Oval,2ct,Platinum,White,Francesca,Oval,2ct,18k,Yellow,Francesca,Oval,1ct,14k,Rose,Beatrice,Oval,3ct,14k,Yellow,Trendy
Oval,In Crowd,Earrings Only,Large,Alessia,Oval,2ct,Platinum,White,Elena,Oval,2ct,14k,Yellow,Gianna,Oval,3ct,Platinum,White,Alessia,Oval,2ct,Platinum,White,Trendy
Oval,In Crowd,No Jewelry,X-Small,Gemma,Oval,2ct,14k,White,Gemma,Oval,1ct,14k,White,Gemma,Oval,2ct,Platinum,White,Gemma,Oval,1ct,14k,Rose,Minimalistic
Oval,In Crowd,No Jewelry,Small,Gemma,Oval,1ct,18k,Rose,Gemma,Oval,2ct,Platinum,White,Gemma,Oval,2ct,Platinum,White,Gemma,Oval,2ct,14k,Rose,Minimalistic
Oval,In Crowd,No Jewelry,Medium,Gemma,Oval,1ct,14k,White,Gemma,Oval,1ct,14k,White,Gemma,Oval,2ct,14k,Yellow,Gemma,Oval,1ct,14k,Rose,Minimalistic
Oval,In Crowd,No Jewelry,Large,Gemma,Oval,2ct,18k,Rose,Gemma,Oval,1ct,18k,Yellow,Gemma,Oval,2ct,Platinum,White,Gemma,Oval,1ct,18k,White,Minimalistic
Oval,Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,Gemma,Oval,2ct,14k,Rose,Gemma,Oval,2ct,14k,Yellow,Gemma,Oval,2ct,14k,Rose,Gemma,Oval,2ct,14k,Yellow,Minimalistic
Oval,Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Gemma,Oval,2ct,18k,Yellow,Gemma,Oval,2ct,14k,Yellow,Gemma,Oval,2ct,18k,Yellow,Gemma,Oval,2ct,Platinum,White,Minimalistic
Oval,Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Gemma,Oval,4ct,Platinum,White,Gemma,Oval,3ct,Platinum,White,Gemma,Oval,5ct,Platinum,White,Gemma,Oval,3ct,Platinum,White,Minimalistic
Oval,Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Gemma,Oval,4ct,18k,Yellow,Gemma,Oval,4ct,18k,White,Gemma,Oval,4ct,Platinum,White,Gemma,Oval,4ct,Platinum,White,Minimalistic
Oval,Not Attending,Necklace & Earrings,X-Small,Gemma,Oval,2ct,18k,Rose,Gemma,Oval,2ct,18k,Rose,Gemma,Oval,2ct,18k,White,Gemma,Oval,2ct,18k,Yellow,Minimalistic
Oval,Not Attending,Necklace & Earrings,Small,Gemma,Oval,2ct,14k,Rose,Gemma,Oval,2ct,14k,Yellow,Gemma,Oval,2ct,18k,Rose,Gemma,Oval,2ct,Platinum,White,Minimalistic
Oval,Not Attending,Necklace & Earrings,Medium,Gemma,Oval,2ct,Platinum,White,Gemma,Oval,4ct,Platinum,White,Gemma,Oval,3ct,Platinum,White,Gemma,Oval,4ct,14k,Rose,Minimalistic
Oval,Not Attending,Necklace & Earrings,Large,Gemma,Oval,3ct,14k,Rose,Gemma,Oval,3ct,Platinum,White,Gemma,Oval,2ct,14k,Rose,Gemma,Oval,2ct,18k,White,Minimalistic
Oval,Not Attending,Earrings Only,X-Small,Gemma,Oval,2ct,18k,Yellow,Gemma,Oval,1ct,18k,Yellow,Gemma,Oval,2ct,18k,White,Gemma,Oval,1ct,18k,Yellow,Minimalistic
Oval,Not Attending,Earrings Only,Small,Gemma,Oval,2ct,Platinum,White,Gemma,Oval,1ct,18k,White,Gemma,Oval,2ct,Platinum,White,Gemma,Oval,1ct,14k,White,Minimalistic
Oval,Not Attending,Earrings Only,Medium,Gemma,Oval,2ct,14k,Rose,Gemma,Oval,2ct,18k,White,Gemma,Oval,2ct,Platinum,White,Gemma,Oval,2ct,14k,Yellow,Minimalistic
Oval,Not Attending,Earrings Only,Large,Gemma,Oval,2ct,14k,White,Gemma,Oval,1ct,Platinum,White,Gemma,Oval,1ct,Platinum,White,Gemma,Oval,2ct,14k,White,Minimalistic
Oval,Not Attending,No Jewelry,X-Small,Gemma,Oval,2ct,14k,White,Gemma,Oval,1ct,Platinum,White,Gemma,Oval,1ct,14k,White,Gemma,Oval,1ct,14k,Rose,Minimalistic
Oval,Not Attending,No Jewelry,Small,Gemma,Oval,2ct,14k,Rose,Gemma,Oval,1ct,18k,Yellow,Gemma,Oval,1ct,18k,Rose,Gemma,Oval,2ct,18k,Rose,Minimalistic
Oval,Not Attending,No Jewelry,Medium,Gemma,Oval,2ct,18k,White,Gemma,Oval,1ct,18k,Yellow,Gemma,Oval,2ct,14k,White,Gemma,Oval,1ct,18k,Rose,Minimalistic
Oval,Not Attending,No Jewelry,Large,Gemma,Oval,2ct,Platinum,White,Gemma,Oval,1ct,Platinum,White,Gemma,Oval,1ct,Platinum,White,Gemma,Oval,1ct,Platinum,White,Minimalistic
Princess,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,EMILIA,Princess,2ct,14k,White,Emma,Princess,2ct,14k,White,GABRIELLA,Princess,2ct,14k,White,GABRIELLA,Princess,2ct,18k,White,Glamorous
Princess,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Emma,Princess,2ct,14k,Rose,CATERINA,Princess,2ct,Platinum,White,CATERINA,Princess,2ct,14k,Rose,GABRIELLA,Princess,2ct,14k,Yellow,Glamorous
Princess,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,MIA,Princess,4ct,Platinum,White,GABRIELLA,Princess,3ct,18k,Yellow,GABRIELLA,Princess,3ct,18k,White,GABRIELLA,Princess,3ct,14k,White,Glamorous
Princess,Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,GABRIELLA,Princess,5ct,Platinum,White,GABRIELLA,Princess,3ct,18k,Yellow,CATERINA,Princess,4ct,14k,Rose,GABRIELLA,Princess,3ct,18k,Yellow,Glamorous
Princess,Center Stage,Necklace & Earrings,X-Small,Donatella,Princess,2ct,18k,Rose,Bianca,Princess,2ct,Platinum,White,GIORGINA,Princess,2ct,14k,Yellow,CAMILLA,Princess,2ct,14k,White,Classic
Princess,Center Stage,Necklace & Earrings,Small,CAMILLA,Princess,2ct,Platinum,White,GIULIA,Princess,2ct,18k,Rose,GIULIA,Princess,2ct,Platinum,White,GIORGINA,Princess,2ct,18k,White,Classic
Princess,Center Stage,Necklace & Earrings,Medium,ARIA,Princess,3ct,14k,Yellow,Bianca,Princess,4ct,14k,Rose,GIULIA,Princess,4ct,18k,Yellow,Bianca,Princess,1ct,Platinum,White,Classic
Princess,Center Stage,Necklace & Earrings,Large,DANIELLA,Princess,2ct,18k,Rose,ANGELINA,Princess,3ct,18k,White,ANGELINA,Princess,3ct,18k,White,CAMILLA,Princess,2ct,18k,Rose,Classic
Princess,Center Stage,Earrings Only,X-Small,Francesca,Princess,1ct,Platinum,White,Gianna,Princess,1ct,14k,Rose,Francesca,Princess,2ct,18k,Yellow,Elena,Princess,2ct,18k,Yellow,Trendy
Princess,Center Stage,Earrings Only,Small,Gianna,Princess,2ct,14k,White,Francesca,Princess,1ct,14k,White,Elena,Princess,2ct,18k,White,Beatrice,Princess,1ct,Platinum,White,Trendy
Princess,Center Stage,Earrings Only,Medium,Alessia,Princess,3ct,Platinum,White,Alessia,Princess,3ct,Platinum,White,Gianna,Princess,2ct,18k,White,Elena,Princess,3ct,14k,Yellow,Trendy
Princess,Center Stage,Earrings Only,Large,Beatrice,Princess,2ct,18k,Yellow,Gianna,Princess,1ct,Platinum,White,Elena,Princess,2ct,14k,Yellow,Alessia,Princess,2ct,14k,Rose,Trendy
Princess,Center Stage,No Jewelry,X-Small,Francesca,Princess,2ct,14k,Yellow,Alessia,Princess,2ct,14k,White,Francesca,Princess,2ct,14k,Rose,Francesca,Princess,2ct,14k,Yellow,Trendy
Princess,Center Stage,No Jewelry,Small,Elena,Princess,2ct,Platinum,White,Alessia,Princess,2ct,14k,White,Francesca,Princess,2ct,Platinum,White,Elena,Princess,2ct,Platinum,White,Trendy
Princess,Center Stage,No Jewelry,Medium,Alessia,Princess,2ct,Platinum,White,Francesca,Princess,1ct,Platinum,White,Francesca,Princess,2ct,18k,White,Beatrice,Princess,1ct,Platinum,White,Trendy
Princess,Center Stage,No Jewelry,Large,Beatrice,Princess,2ct,14k,White,Francesca,Princess,1ct,14k,Rose,Alessia,Princess,2ct,18k,White,Elena,Princess,1ct,Platinum,White,Trendy
Princess,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,Gemma,Princess,2ct,Platinum,White,Gemma,Princess,2ct,14k,Yellow,Gemma,Princess,2ct,18k,White,Gemma,Princess,2ct,14k,Yellow,Minimalistic
Princess,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Gemma,Princess,2ct,18k,Yellow,Gemma,Princess,2ct,18k,White,Gemma,Princess,2ct,14k,White,Gemma,Princess,2ct,18k,Rose,Minimalistic
Princess,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Gemma,Princess,4ct,14k,White,Gemma,Princess,3ct,18k,Rose,Gemma,Princess,5ct,18k,Rose,Gemma,Princess,3ct,18k,Rose,Minimalistic
Princess,In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Gemma,Princess,4ct,Platinum,White,Gemma,Princess,3ct,Platinum,White,Gemma,Princess,4ct,Platinum,White,Gemma,Princess,4ct,18k,Yellow,Minimalistic
Princess,In Crowd,Necklace & Earrings,X-Small,ANGELINA,Princess,2ct,Platinum,White,ANGELINA,Princess,2ct,18k,Rose,ARIA,Princess,2ct,14k,White,DANIELLA,Princess,2ct,14k,White,Classic
Princess,In Crowd,Necklace & Earrings,Small,Bianca,Princess,2ct,Platinum,White,ANGELINA,Princess,2ct,14k,Rose,ANGELINA,Princess,2ct,Platinum,White,ARIA,Princess,2ct,18k,Rose,Classic
Princess,In Crowd,Necklace & Earrings,Medium,ARIA,Princess,1ct,14k,Yellow,Bianca,Princess,4ct,Platinum,White,GIORGINA,Princess,3ct,Platinum,White,Arianna,Princess,2ct,14k,Yellow,Classic
Princess,In Crowd,Necklace & Earrings,Large,ANGELINA,Princess,4ct,14k,White,ANGELINA,Princess,4ct,Platinum,White,ARIA,Princess,2ct,14k,White,GIORGINA,Princess,3ct,Platinum,White,Classic
Princess,In Crowd,Earrings Only,X-Small,Francesca,Princess,2ct,18k,Yellow,Gianna,Princess,1ct,Platinum,White,Elena,Princess,2ct,Platinum,White,Beatrice,Princess,1ct,Platinum,White,Trendy
Princess,In Crowd,Earrings Only,Small,Francesca,Princess,1ct,14k,Yellow,Elena,Princess,1ct,Platinum,White,Elena,Princess,2ct,Platinum,White,Elena,Princess,2ct,18k,White,Trendy
